RoomID,Building,Floor,Room #,Room Name,Room Use Code,Stations,Area (ft2),Department,Faculty /Scientist Name
1,McNair,1st,101,CHEMICAL STORAGE,215, ,119,CHEMICAL ENG,
2,McNair,1st,104,UNIT OPERATIONS LAB,250,26,1416,CHEMICAL ENG,
3,McNair,1st,105,WET CHEM LAB,220,8,378,CHEMICAL ENG,MR. G. COLEMAN
4,McNair,1st,107,STORAGE WORK AREA,220,3,497,CHEMICAL ENG,MR. G. COLEMAN
5,McNair,1st,108,MATERIAL & STORAGE,215, ,259,GENERAL ENG., 
6,McNair,1st,111,RESEARCH LAB,250, ,616,CIVIL ENG,MR.R.WESTMORELAND
7,McNair,1st,112,CE MC LAB,220,15,1708,CIVIL ENG,
8,McNair,1st,116,STUD/FAC LOUNGE,650,30,1196,GENERAL ENG.,
9,McNair,1st,122,MAKER SPACE,315,,380,GENERAL ENGINEER,Vacant
10,McNair,1st,123,CLASSROOM,110,40,583,GENERAL ENGINEER,
11,McNair,1st,124,STORAGE,215,,151,GENERAL ENGINEER,
12,McNair,1st,126,CLASSROOM,110,35,505,GENERAL ENGINEER,
13,McNair,1st,128,CLASSROOM,110,35,498,GENERAL ENGINEER,
14,McNair,1st,129,CLASSROOM,110,35,507,GENERAL ENGINEER,
15,McNair,1st,130,CLASSROOM,110,35,507,GENERAL ENGINEER,
16,McNair,1st,131,RES LAB?,250,20,498,ELECTRICAL ENGR,
17,McNair,1st,132,CLASSROOM,110,36,505,GENERAL ENGINEER,
18,McNair,1st,135,CLASSROOM,110,48,622,GENERAL ENGINEER,
19,McNair,1st,138,TESTING RM,215,,244,ELECTRICAL ENGR,DR. S. IYER
20,McNair,1st,139,EQUIP RM,215,1,276,ELECTRICAL ENGR,DR. S. IYER
21,McNair,1st,140,ANTEROOM,255,5,209,ELECTRICAL ENGR,DR. S. IYER
22,McNair,1st,141,VESTIBULE,255,,33,ELECTRICAL ENGR,Vacant
23,McNair,1st,142,MICROELECTRONICS FABRICATION LAB,220,5,860,ELECTRICAL ENGR,DR. S. IYER
24,McNair,1st,143,PHOTOLITHOGRAPHY,220,5,229,ELECTRICAL ENGR,Vacant
25,McNair,1st,145,STORAGE,225,,15,ELECTRICAL ENGR,
26,McNair,2nd,202,UNIT OPERATION LAB?,215,,1410,CHEMICAL ENGINEERING,
27,McNair,2nd,204,TELECONFERENCE,110,36,1050,GENERAL ENGINEER,
28,McNair,2nd,205,CLASSROOM,110,50,1142,GENERAL ENGINEER,
29,McNair,2nd,206,OFFICE,310,2,112,ENGINEER GENERAL,
30,McNair,2nd,207,CONTROL ROOM,310,,182,ENGINEERING GENERAL,
31,McNair,2nd,208,COMPUTER ROOM,220,10,308,ENGINEERING GENERAL,
32,McNair,2nd,00208A,COMPUTER ROOM,220,,60,ENGINEERING GENERAL,
33,McNair,2nd,210,TUTOR I,410,2,85,ENGINEERING GENERAL,
34,McNair,2nd,211,TUTOR II,410,2,79,ENGINEERING GENERAL,
35,McNair,2nd,212,COMPUTER LAB,220,30,1172,ENGINEER GENERAL,
36,McNair,2nd,00212A,MEDIA ROOM,440,30,98,ENGINEER GENERAL,
37,McNair,2nd,00212B,WORK ROOM,225,25,166,ENGINEER GENERAL,
38,McNair,2nd,213,LECTURE #2,110,45,1145,GENERAL ENGINEER,
39,McNair,2nd,214,LECTURE #1,110,45,1104,GENERAL ENGINEER,
40,McNair,2nd,215,LOUNGE,650,20,586,GENERAL ENGINEER,
41,McNair,2nd,222,COMPUTER ROOM,225,4,637,ENGINEER GENERAL,
42,McNair,2nd,223,COMPUTER ROOM,210,25,635,ENGINEERING GENERAL,
43,McNair,2nd,224,COMPUTER ROOM,220,25,641,ENGINEERING GENERAL,
44,McNair,2nd,226,FAC LOUNGE,650,10,585,ENGINEER GENERAL,
45,McNair,2nd,228,MENS TOILET,655,,105,ENGINEER GENERAL,
46,McNair,2nd,231,LADIES LOUNGE,650,10,326,ENGINEER GENERAL,
47,McNair,2nd,232,WOMENS TOILET,655,,78,ENGINEER GENERAL,
48,McNair,2nd,234,VESTIBULE,680,,231,ENGINEER GENERAL,
49,McNair,2nd,238,CLASSROOM,110,33,622,GENERAL ENGINEER,
50,McNair,2nd,239,CLASSROOM,110,44,622,GENERAL ENGINEER,
51,McNair,2nd,240,AUDITORIUM,610,298,3156,ENGINEER GENERAL,
52,McNair,2nd,241,PROJECTION RM,615,,41,ENGINEERING,GENERAL
53,McNair,3rd,301,CLASSROOM,110,24,439,GENERAL ENGINEER,
54,McNair,3rd,302,NEW BIO LAB,250,4,501,CHEMICAL ENGINEERING,DR. V. KABADI
55,McNair,3rd,303,STORAGE,255,,75,CHEMICAL ENGINEERING,
56,McNair,3rd,304,NEW BIO LAB,250,6,523,CHEMICAL ENGINEERING,DR. S. ILIAS
57,McNair,3rd,305,DYNAMICS PROCESS LAB,250,6,548,CHEMICAL ENGINEERING,
58,McNair,3rd,306,NEW BIO LAB,,,,,
59,McNair,3rd,307,MEMBRANE SEP LAB,250,6,529,CHEMICAL ENGINEERING,DR. S. ILIAS
60,McNair,3rd,312,A/V LAB,410,10,185,CHEMICAL ENGINEERING,
61,McNair,3rd,313,KABADI LAB,250,4,188,CHEMICAL ENGINEERI,
62,McNair,3rd,314,ILIAS LAB,310,1,156,CHEMICAL ENGINEERI,DR. S. ILIAS
63,McNair,3rd,316,FAC OFFICE,310,1,156,CHEMICAL ENGINEERI,PROF. V. ALFORD
64,McNair,3rd,317,FAC OFFICE,310,1,156,CHEMICAL ENGINEERI,DR. Y.G. ADEWUYI
65,McNair,3rd,318,FAC OFFICE,310,1,158,CHEMICAL ENGINEERI,DR. COLLINS
66,McNair,3rd,325,OFFICE,310,,97,BIOENGINEERING,DR. COHEN
67,McNair,3rd,326,OFFICE,310,,100,BIOENGINEERING,DR. KHAN
68,McNair,3rd,327,OFFICE,310,,99,BIOENGINEERING,Empty
69,McNair,3rd,328,OFFICE,310,,98,CHEMICAL ENGINEERI,DR. YOO
70,McNair,3rd,329,OFFICE,310,,101,CHEMICAL ENGINEERI,Empty
71,McNair,3rd,330,OFFICE?,310,,97,CHEMICAL ENGINEERI,DR. AZAD
72,McNair,3rd,00331A,OFFICE,310,,143,CHEMICAL ENGINEERI,DR. L. UITENHAM (ret)
73,McNair,3rd,00331B,OFFICE,310,,162,CHEMICAL ENGINEERI,DR. V. KABADI
74,McNair,3rd,338,PROCESS LAB,250,,574,CHEMICAL ENGINEERI,OPEN
75,McNair,3rd,00339A,OFFICE?,310,,109,BIOENGINEERING,?
76,McNair,3rd,00339B,WORK AREA,315,,46,BIOENGINEERING,
77,McNair,3rd,340,KITCHEN,315,,129,BIOENGINEERING,
78,McNair,3rd,341,RECEPT. OFFICE,310,,265,BIOENGINEERING,MS. C. CHAVIS
79,McNair,3rd,342,CHAIR OFFICE,310,,261,BIOENGINEERING,DR. S. KNISLEY (now DR LOU)
80,McNair,3rd,343,CONF. RM,350,,258,BIOENGINEERING,
81,McNair,3rd,344,CORRIDOR,315,,41,BIOENGINEERING,
82,McNair,3rd,345,OFFICE,310,,103,BIOENGINEERING,Empty
83,McNair,3rd,346,OFFICE,310,,103,ELECTRICAL ENGR,MR. A. OSAREH (EE)
84,McNair,3rd,347,OFFICE,310,,103,ENGINEERING GENERAL,DR. C. GRAVES
85,McNair,3rd,348,CORRIDOR,315,,227,BIOENGINEERING,
86,McNair,3rd,349,OFFICE?,310,,103,BIOENGINEERING,Empty
87,McNair,3rd,351,RESEARCH LAB?,250,,327,CHEMICAL ENGINEERI,OPEN
88,McNair,4th,401,IE FAC OFFICE,310,,169,INDUSTRIAL GENERAL,DR. PAUL STANFIELD
89,McNair,4th,402,IE FAC OFFICE,310,,103,INDUSTRIAL GENERAL,Empty
90,McNair,4th,403,IE FAC OFFICE,310,,103,INDUSTRIAL GENERAL,DR. Z. LI
91,McNair,4th,404,IE FAC OFFICE,310,,103,INDUSTRIAL GENERAL,Empty
92,McNair,4th,405,IE FAC OFFICE,310,,103,INDUSTRIAL GENERAL,DR. HAMILTON
93,McNair,4th,406,IE FAC OFFICE,310,,103,INDUSTRIAL GENERAL,DR. J. CHESTNUT
94,McNair,4th,407,CONF. ROOM,350,10,261,INDUSTRIAL GENERAL,
95,McNair,4th,408,CHAIR OFFICE,350,1,263,INDUSTRIAL GENERAL,DR. OM YADAV
96,McNair,4th,414,STORAGE,315,,74,INDUSTRIAL GENERAL,
97,McNair,4th,415,OFFICE?,310,1,74,INDUSTRIAL GENERAL,VACANT
98,McNair,4th,416,WAITING,315,3,187,INDUSTRIAL GENERAL,
99,McNair,4th,00416A,OFFICE,310,1,101,INDUSTRIAL GENERAL,SUNDAY
100,McNair,4th,00416B,OFFICE,310,1,102,INDUSTRIAL GENERAL,Empty
101,McNair,4th,00417A,OFFICE,310,1,92,INDUSTRIAL GENERAL,MS. E. BROOKS
102,McNair,4th,00417B,COPY RM,310,1,94,INDUSTRIAL GENERAL, 
103,McNair,4th,00417C,WORKAREA,315,,22,INDUSTRIAL GENERAL,
104,McNair,4th,418,KITCHEN / WORKROOM,315,,132,INDUSTRIAL GENERAL,
105,McNair,4th,419,RECEPTION,310,1,270,INDUSTRIAL GENERAL,MS. Y. WILLIAMS
106,McNair,4th,00422A,OFFICE,310,1,142,INDUSTRIAL GENERAL,DR. Y. SEONG
107,McNair,4th,00422B,OFFICE,310,1,181,INDUSTRIAL GENERAL,DR. S. DESAI
108,McNair,4th,423,OFFICE,310,1,105,INDUSTRIAL GENERAL,DR. KIM
109,McNair,4th,424,OFFICE,310,1,105,INDUSTRIAL GENERAL,DR. X. QU
110,McNair,4th,425,OFFICE,310,1,105,INDUSTRIAL GENERAL,MR. S. ONEYEAR
111,McNair,4th,00426A,OFFICE?,310,1,179,INDUSTRIAL GENERAL,DR. SARIN
112,McNair,4th,00426B,OFFICE,310,1,139,INDUSTRIAL GENERAL,DR. ALKAABNEH
113,McNair,4th,433,OFFICE,310,1,199,CIVIL ENGR,DR. PICORNELL
114,McNair,4th,434,OFFICE,310,1,98,CIVIL ENGR,DR. PANDEY
115,McNair,4th,435,OFFICE,310,1,97,ENVIRON & WATER ENGR,DR. ROBBINS
116,McNair,4th,436,OFFICE,310,1,101,CIVIL ENGR,DR. M. JHA
117,McNair,4th,00437A,OFFICE,310,1,96,ENVIRON & WATER ENGR,DR. ZHAO
118,McNair,4th,00437B,OFFICE,310,1,98,CIVIL ENGR,DR. T. ABU-LEBDEH
119,McNair,4th,438,OFFICE,310,1,202,ENVIRON & WATER ENGR,DR. S. HAMOUSH
120,McNair,4th,444,COMPUTER LAB,220,,549,CIVIL ENGR,ENERGY SIMULATI
121,McNair,4th,00445A,OFFICE,310,1,112,CIVIL ENGR,MR. TAYLOR
122,McNair,4th,446,KITCHEN / WORKROOM,315,,132,CIVIL ENGR,
123,McNair,4th,447,RECEPTION,310,1,266,CIVIL ENGR,MS. M. THOMAS
124,McNair,4th,448,CHAIR OFFICE,310,1,264,CIVIL ENGR,now DR. JHA
125,McNair,4th,449,CONFERENCE RM,350,?,262,CIVIL ENGR,
126,McNair,4th,450,CLOSET,315,,21,CIVIL ENGR,
127,McNair,4th,451,OFFICE,310,1,104,ARCH ENGR,DR. DESHAUN
128,McNair,4th,452,OFFICE,310,1,105,CIVIL ENGR,PROF. T. COLY
129,McNair,4th,454,OFFICE,310,1,105,CIVIL ENGR,DR. A. MEGRI
130,McNair,4th,455,OFFICE,310,1,104,CIVIL ENGR,DR. THOMPSON
131,McNair,4th,456,OFFICE,310,1,106,ENVIRON & WATER ENGR,DR. AHMED
132,McNair,4th,457,CLOSET,315,,13,CIVIL ENGR,
133,McNair,4th,458,OFFICE,310,1,171,ARCH ENGR,MR. R. BAILEY
134,McNair,5th,501,OFFICE,310,1,172,ELECTRICAL ENGR,Dr. Balu Gokaraju
135,McNair,5th,502,OFFICE,310,1,105,ELECTRICAL ENGR,Dr.Rhinehardt
136,McNair,5th,503,OFFICE,310,1,106,ELECTRICAL ENGR,Ismail
137,McNair,5th,504,OFFICE,310,1,106,ELECTRICAL ENGR,Islam
138,McNair,5th,505,OFFICE,310,1,105,ELECTRICAL ENGR,Park
139,McNair,5th,506,OFFICE,310,1,106,ELECTRICAL ENGR,Haithcock
140,McNair,5th,507,CONFERENCE RM,350,1,265,COMPUTER ENGR,
141,McNair,5th,508,CHAIR OFFICE,310,1,267,ELECTRICAL ENGR,Bikdash
142,McNair,5th,509,STORAGE,315,,21,ELECTRICAL ENGR,
143,McNair,5th,517,OFFICE,310,,163,COMPUTER ENGR,Dr. Bikdash labs
144,McNair,5th,518,OFFICE?,310,161,,COMPUTER ENGR,Dr. Bikdash labs
145,McNair,5th,519,OFFICE,310,1,106,COMPUTER ENGR,Empty
146,McNair,5th,520,RES LAB?,250,4,286,GENERAL ENGINEER,OPEN LAB?
147,McNair,5th,00520A,WALK-IN COOLER,255,,93,CIVIL ENGR,
148,McNair,5th,00520B,RES LAB,250,4,161,GENERAL USE,?
149,McNair,5th,521,OFFICE,310,,105,COMPUTER ENGR,Empty
150,McNair,5th,00520B,RES LAB,250,4,161,GENERAL USE,?
151,McNair,5th,521,OFFICE,310,,105,COMPUTER ENGR,Empty
152,McNair,5th,00521A,KITCHEN,315,1,132,COMPUTER ENGR,
153,McNair,5th,00521B,OFFICE,315,,112,COMPUTER ENGR,DR. M. HINTON DR. B. PIORO
154,McNair,5th,00521C,OFFICE,310,1,45,COMPUTER ENGR,MS. B. MILLER
155,McNair,5th,522,OFFICE,310,1,106,ELECTRICAL ENGR,DR. K. BENNETT
156,McNair,5th,523,OFFICE,310,1,104,COMPUTER ENGR,Gaire 
157,McNair,5th,524,OFFICE,310,1,106,COMPUTER ENGR,Gilmore
158,McNair,5th,525,OFFICE,310,1,111,COMPUTER ENGR,Empty
159,McNair,5th,526,OFFICE,310,1,269,ELECTRICAL ENGR,MS. R. WILLIAMS
160,McNair,5th,533,OFFICE,310,1,97,COMPUTER ENGR,Bogale
161,McNair,5th,534,OFFICE,310,1,98,COMPUTER ENGR,DR. Z. XIE
162,McNair,5th,535,OFFICE,310,1,98,ELECTRICAL ENGR,Alam M
163,McNair,5th,536,OFFICE,310,1,97,COMPUTER ENGR,EMPTY
164,McNair,5th,537,OFFICE,310,1,99,COMPUTER ENGR,empty
165,McNair,5th,538,OFFICE,310,1,98,ELECTRICAL ENGR,Nguyen
166,McNair,5th,539,OFFICE,310,1,98,COMPUTER ENGR,DR. N. DOGAN
167,McNair,5th,540,OFFICE,310,1,202,COMPUTER ENGR,Fadl
168,McNair,5th,545,OFFICE,310,1,169,ELECTRICAL ENGR,VACANT
169,McNair,5th,546,OFFICE,310,,84,ELECTRICAL ENGR,MR. D. BOONE
170,McNair,5th,547,OFFICE,310,1,129,ELECTRICAL ENGR,A.Hughes
171,McNair,5th,00549A,OFFICE,310,1,94,ELECTRICAL ENGR,C.Brown
172,McNair,5th,00549B,SECRETARIES OFFICE,310,1,95,ELECTRICAL ENGR,Workstudy
173,McNair,5th,550,KITCHEN,315,,132,ELECTRICAL ENGR,
174,McNair,5th,551,RECEPTION,310,1,263,ELECTRICAL ENGR,MS. S. JONES
175,McNair,5th,552,CHAIR OFFICE,310,1,264,ELECTRICAL ENGR,Eroglu
176,McNair,5th,553,CONFERENCE ROOM,215,12,261,ELECTRICAL ENGR,
177,McNair,5th,554,STORAGE,215,11,21,ELECTRICAL ENGR,
178,McNair,5th,555,OFFICE,310,1,105,COMPUTER ENGR,Raptis
179,McNair,5th,556,OFFICE?,310,1,105,ELECTRICAL ENGR,Doss
180,McNair,5th,557,OFFICE,310,1,105,ELECTRICAL ENGR,Graves
181,McNair,5th,559,OFFICE,310,1,104,ELECTRICAL ENGR,empty
