RoomID,Building,Floor,Room #,Room Name,Room Use Code,Stations,Area (ft2),Department,Faculty /Scientist Name
182,McNair,5th,560,OFFICE?,310,1,106,ENGINEERING GENERAL,Horne
183,McNair,5th,561,STORAGE,215,11,13,ELECTRICAL ENGR,
184,McNair,5th,00561A,COPY/WORKRM,315,,154,ELECTRICAL ENGR,
185,McNair,5th,562,OFFICE,310,1,171,ENGINEERING GENERAL,Kelly
186,McNair,6th,601,FAC OFFICE,310,1,169,GENERAL ENGINEER,DR. S. WANG
187,McNair,6th,602,FAC OFFICE,310,1,103,GENERAL ENGINEER, 
188,McNair,6th,603,FAC OFFICE,310,1,103,GENERAL ENGINEER, 
189,McNair,6th,604,FAC OFFICE,310,1,103,GENERAL ENGINEER,DR. S. YI
190,McNair,6th,605,FAC OFFICE,310,1,103,GENERAL ENGINEER, 
191,McNair,6th,606,FAC OFFICE,310,1,103,GENERAL ENGINEER,
192,McNair,6th,607,CONF. RM,350,1,260,MECHANICAL,
193,McNair,6th,608,CHAIR OFFICE,310,1,263,MECHANICAL,DR. S. OWUS
194,McNair,6th,609,STORAGE,315,,21,MECHANICAL,
195,McNair,6th,614,STORAGE,315,,150,MECHANICAL,
196,McNair,6th,00615A,STORAGE,315,1,95,MECHANICAL,
197,McNair,6th,00615B,FAC OFFICE,310,1,95,GENERAL ENGINEER,
198,McNair,6th,00615C,OFFICE,310,1,98,MECHANICAL,MR. A. CUC
199,McNair,6th,00615D,OFFICE,310,1,98,MECHANICAL,Sjeon
200,McNair,6th,00617A,KITCHEN / WORKROOM,315,,132,MECHANICAL,
201,McNair,6th,00617B,COPY ROO M,315,1,92,MECHANICAL,
202,McNair,6th,00617C,OFFICE,310,1,93,MECHANICAL,
203,McNair,6th,618,RECEPTION,310,1,269,MECHANICAL,. JONES
204,McNair,6th,621,FAC OFFICE,310,1,215,GENERAL ENGINEER,Dunn
205,McNair,6th,622,FAC OFFICE,310,1,105,GENERAL ENGINEER,Okore-Hanson
206,McNair,6th,623,FAC OFFICE,310,1,105,GENERAL ENGINEER,Carmon
207,McNair,6th,624,FAC OFFICE,310,1,105,GENERAL ENGINEER, 
208,McNair,6th,625,FAC OFFICE,310,1,105,GENERAL ENGINEER,Kumar
209,McNair,6th,626,FAC OFFICE,310,1,105,GENERAL ENGINEER,Esau
210,McNair,6th,627,FAC OFFICE,310,1,105,GENERAL ENGINEER,Empty
211,McNair,6th,628,FAC OFFICE,310,1,106,GENERAL ENGINEER,Dhanasar
212,McNair,6th,635,OFFICE,310,1,97,GENERAL ENGINEER,Empty
213,McNair,6th,636,OFFICE,310,1,98,GENERAL ENGINEER,V.Yefimova
214,McNair,6th,00637A,OFFICE,310,105,,GENERAL ENGINEER,Akangah
215,McNair,6th,00637B,OFFICE,310,1,142,GENERAL ENGINEER,Atkinson
216,McNair,6th,638,OFFICE,310,1,149,GENERAL ENGINEER,Sundareasean
217,McNair,6th,639,,,,,,Kelkar
218,McNair,6th,640,OFFICE,310,1,151,GENERAL ENGINEER,Kennedy
219,McNair,6th,645,OFFICE,,,,,Feng
220,McNair,6th,00645A,ADMIN SUPPT.,310,1,114,GENERAL ENGINEER,MS. A. CARTER
221,McNair,6th,00645B,OFFICE,310,,95,GENERAL ENGINEER,Empty
222,McNair,6th,646,COPY/FILE,315,,112,GENERAL ENGINEER,
223,McNair,6th,647,KITCHEN,315,,134,GENERAL ENGINEER,
224,McNair,6th,00649B,OFFICE?,315,,47,GENERAL ENGINEER,?
225,McNair,6th,00649A,OFFICE?,315,,98,GENERAL ENGINEER,?
226,McNair,6th,651,ADMIN SUPPT.,310,1,142,GENERAL ENGINEER, 
227,McNair,6th,653,DEAN CONF. RM,350,1,484,GENERAL ENGINEER,
228,McNair,6th,654,DEAN OFFICE,310,1,322,GENERAL ENGINEER,Ferguson
229,McNair,6th,655,DEAN ASST. OFFICE,310,1,126,GENERAL ENGINEER,Empty
230,McNair,6th,657,DIR. DEVEL. OFFICE,310,1,126,GENERAL ENGINEER,Acree
231,McNair,6th,658,ASST. DEAN OFFICE,310,1,192,GENERAL ENGINEER,Schall
232,McNair,6th,659,ASSOC. DEAN OFFICE,310,1,181,GENERAL ENGINEER,Kizito
233,McNair,6th,660,STORAGE,315,,54,GENERAL ENGINEER,
234,Graham,1st,100,TEACHING LAB,210,15,2826,MECHANICAL ENG.,
235,Graham,1st,00100A,FAC OFFICE,310,2,176,MECHANICAL ENG.,
236,Graham,1st,101,MECHANTRONICS,210,16,631,MECHANICAL ENG.,
237,Graham,1st,102,MATERIALS LAB,210,10,813,MECHANICAL ENG.,
238,Graham,1st,103,DR. KIZITO--SR. DESIGN,310,1,288,MECHANICAL ENG.,
239,Graham,1st,106,MATERIALS TEACHING LAB,250,22,877,MECHANICAL ENG.,
240,Graham,1st,00106B,STOR,255,,56,MECHANICAL ENG.,
241,Graham,1st,107,SR. DESIGN,250,5,515,MECHANICAL ENG.,
242,Graham,1st,108,SHARED LAB,210,22,1173,CAEE & ME,
243,Graham,1st,00108A,LAB STOR,215,22,75,CAEE & ME,
244,Graham,1st,110,DR.PICORNELL,210,22,2490,"CIVIL, ARCH, ENV. ENG.",
245,Graham,1st,00110A,LAB ,215,,74,"CIVIL, ARCH, ENV. ENG.",
246,Graham,1st,00110B,LAB STOR,215,,143,"CIVIL, ARCH, ENV. ENG.",High bay; Strength concrete testing
247,Graham,1st,00110C,LAB STOR,215,,87,"CIVIL, ARCH, ENV. ENG.",
248,Graham,2nd,200,HUMAN FACTOR LAB,250,8,668,INDUSTRIAL SYS ENG.,
249,Graham,2nd,00200A,STORAGE,255,8,13,INDUSTRIAL SYS ENG.,
250,Graham,2nd,201,COMPUTER LAB,250,,1301,INDUSTRIAL SYS ENG.,
251,Graham,2nd,202,COMPUTER LAB,250,10,856,INDUSTRIAL SYS ENG.,
252,Graham,2nd,203,COMPUTER LAB,210,36,1048,COMPUTER SCI.,
253,Graham,2nd,204,COMPUTER LAB,210,30,867,COMPUTER SCI.,
254,Graham,2nd,205,COMPUTER LAB,220,,413,COMPUTER SCI.,
255,Graham,2nd,206,COMPUTER LAB,210,30,847,COMPUTER SCI.,
256,Graham,2nd,208,CLASSROOM,110,62,1370,GENERAL USE,72 Stadium Seats
257,Graham,2nd,00208A,STOR,115,,43,COMPUTER SCI.,
258,Graham,2nd,00208B,STOR,115,,82,COMPUTER SCI.,
259,Graham,2nd,209,COMP LAB,220,,710,COMPUTER SCI.,
260,Graham,2nd,210,CLASSROOM,110,72,1773,GENERAL USE,72 Stadium Seats
261,Graham,2nd,00210B,STOR,115,,83,GENERAL USE,
262,Graham,3rd,301,ARCH DESIGN STUD,210,24,1005,"CIVIL,ARCH, ENVIR,ENGIN.",
263,Graham,3rd,302,ARCH DESIGN STUD,210,24,895,"CIVIL,ARCH, ENVIR,ENGIN.",
264,Graham,3rd,304,HVAC/LIGHT LAB,210,24,914,"CIVIL,ARCH, ENVIR,ENGIN.",
265,Graham,3rd,305,FACULTY OFFICE,310,1,295,"CIVIL,ARCH, ENVIR,ENGIN.",
266,Graham,3rd,307,SR DESIGN CAEE,250,17,546,"CIVIL,ARCH, ENVIR,ENGIN.",
267,Graham,3rd,308,STORAGE,215,,18,,
268,Monroe,1st,101,BIOENG LAB,250,12,552,BIOENGINEERING,
269,Monroe,1st,102,ME LAB; SR. DESIGN,310,1,274,MECHANICAL ENG.,
270,Monroe,1st,105,COPY RM,315,,275,GENERAL ENG.,VACANT
271,Monroe,1st,107,RECPT OFFICE,310,1,138,GENERAL ENG.,Dr. Kory Bennett
272,Monroe,1st,107A,CONFERENCE,350,10,322,GENERAL ENG.,Dr. Kory Bennett
273,Monroe,1st,107B,OFFICE,310,1,136,GENERAL ENG.,Dr. Kory Bennett
274,Monroe,1st,109,PRECISION,215,1,404,MECHANICAL ENG.,
275,Monroe,1st,110,I.E. STUD PROJECTS,250,16,1020,INDUSTRIAL ENG.,?
276,Monroe,1st,111,CAE PROJECT SHOP,,,939,"CIVIL,ARCH, & ENV ENG",
277,Monroe,1st,112,WELDING SHOP,250,,3194,MECHANICAL ENG.,STAFF ?
278,Monroe,1st,00112A,STOR,215,,124,MECHANICAL ENG.,
279,Monroe,1st,00112B,OFFICE,310,1,151,MECHANICAL ENG.,
280,Monroe,1st,00112D,3D PRINT LAB,215,1,152,MECHANICAL ENG.,
281,Monroe,1st,113,SR. DESIGN STUDIO,210,,987,MECHANICAL ENG.,
282,Monroe,1st,114,ELEC. ENG. SR. DESIGN,215,,82,ELECTRICAL ENG.,
283,Monroe,1st,115,STOR,215,,140,GENERAL ENG.,
284,Monroe,1st,116,OFFICE,220,8,218,GENERAL ENG.,
285,Monroe,1st,117,ELEC. ENG. STUDENT,250,20,1069,ELECTRICAL ENG.,
286,Monroe,1st,00118B,RESEARCH LAB; DR. KUMAR,310,10,564,MECHANICAL ENG.,DR. KUMAR
287,Monroe,1st,121,SUN LAB,250,,,COMPUTER LAB,COLLEGE
288,Monroe,1st,121,STOR,,,,,
289,Monroe,1st,122,AUTODRIVE RES.,250,20,761,MECHANICAL ENG.,DR. KUMAR
290,Monroe,1st,00122A,CLEAN RM,255,,54,MECHANICAL ENG.,
291,Monroe,1st,00122A,SUPPORT LAB,255,20,180,MECHANICAL ENG.,
292,Monroe,1st,00122B,STOR,255,,43,MECHANICAL ENG.,
293,Monroe,1st,123,RECEIVING,250,20,123,ELECTRICAL ENG.,
294,Monroe,1st,00123A,STOR,255,,17,ELECTRICAL ENG.,
295,Monroe,1st,00123B,STOR,255,,18,ELECTRICAL ENG.,
296,Monroe,1st,124,Renvoated DR. KIZITO,250,14,583,MECHANICAL ENG.,DR. KIZITO
297,Monroe,1st,125,VACANT,220,5,252,GENERAL ENG.,VACANT
298,Monroe,1st,126,AUTODRIVE for STUDENTS,220,6,206,GENERAL ENG.,
299,Monroe,1st,129,WOOD WRKG SHOP,215,,959,MECHANICAL ENG.,
300,Monroe,2nd,201,C.S. GOOSE LAB (ENV LAB),250,11,596,CIVIL ARCHI ENV ENG,
301,Monroe,2nd,202,CONFERENCE RM,350,42,696,GEN. ENGINEERING,
302,Monroe,2nd,00202A,KITCHEN,355,,29,GEN. ENGINEERING,
303,Monroe,2nd,203,STORAGE,355,,50,GEN. ENGINEERING,
304,Monroe,2nd,205,GRAD STUDIES LAB,220,10,648,BIOENGINEERING,
305,Monroe,2nd,207,CYBER LAB,220,,846,COMPUTER SCI ENGR,
306,Monroe,2nd,00207A,STOR,225,,55,COMPUTER SCI ENGR,
307,Monroe,2nd,210,STORAGE,215,,134,ELECTRICAL ENG,
308,Monroe,2nd,211,STOR,215,,189,COMPUTER SCI ENGR,
309,Monroe,2nd,211,"PHOTONICS LAB, UG LAB",250,30,800,ELECTRICAL ENG,
310,Monroe,2nd,00211A,"UG ECE, TESTING LAB",255,,77,ELECTRICAL ENG,
311,Monroe,2nd,00211B,"UG ECE, TESTING LAB",255,,76,ELECTRICAL ENG,
312,Monroe,2nd,00211C,"UG ECE, TESTING LAB",255,,75,ELECTRICAL ENG,
313,Monroe,2nd,00211D,STOR,255,,85,ELECTRICAL ENG,
314,Monroe,2nd,212,LAB MANAGER,310,1,140,ELECTRICAL ENG,Mohammad Bhenia
315,Monroe,2nd,213,MECH. ENG.,220,30,951,MECHANICAL ENG.,DR. YI / HANSON
316,Monroe,2nd,214,"ELEC MIC PROCESS, UG LAB",210,35,1417,ELECTRICAL ENG,
317,Monroe,2nd,00214A,STORAGE,215,35,165,ELECTRICAL ENG,
318,Monroe,2nd,215,VACANT,220,30,827,M.E. or ECE,
319,Monroe,2nd,216,STORAGE,255,,59,ELECTRICAL ENG,
320,Monroe,2nd,217,"CIRCUITS LAB, UG LAB",250,32,1461,ELECTRICAL ENG,
321,Monroe,2nd,00217A,STORAGE,255,,173,ELECTRICAL ENG,
322,Monroe,2nd,218,UG ECE LAB,220,,762,ELECTRICAL ENG,
323,Monroe,2nd,219,UG ECE LAB,220,26,747,ELECTRICAL ENG,
324,Monroe,2nd,220,POWER LAB,250,10,595,ELECTRICAL ENG,
325,Monroe,2nd,00220A,TESTING LAB,255,,127,ELECTRICAL ENG,
326,Monroe,2nd,222,SCIF,215,,236,GENERAL ENG.,"DR. ATKINSON, SCHALL"
327,Monroe,2nd,224,NEW 226; THERMO LAB,,,241,,
328,Monroe,2nd,225,NEW 226; THERMO LAB,,,155,,
329,Monroe,2nd,226,NEW 226; THERMO LAB,,,151,,
330,Monroe,2nd,227,NEW 226; THERMO LAB,,,143,,
331,Monroe,3rd,301,VACANT,250,25,783,former ELECTRICAL ENG,formerly DIGITAL SIGNAL LAB; Karimoddini moving out
332,Monroe,3rd,302,VACANT,310,2,117,former DR. ANWAR,
333,Monroe,3rd,303,VACANT,310,2,187,former DR. K. BRYANT,
334,Monroe,3rd,304,VACANT,310,2,173,former EFFORT,
335,Monroe,3rd,305,,220,,524,GEN. ENGINEERING,
336,Monroe,3rd,00308A,STORAGE,255,11,55,ELECTRICAL ENG,
337,Monroe,3rd,309,STORAGE,215,11,189,,
338,Monroe,3rd,00310A,STOR,215,11,50,GEN. ENGINEERING,
339,Monroe,3rd,311,"Dr. XIE, DOGAN, EROGLU LAB",250,16,954,ELECTRICAL ENG,formerly 310
340,Monroe,3rd,312,DR. PARK,250,10,591,COMP SCI ENG,
341,Monroe,3rd,313,DR. ATKINSON,250,5,351,MECHANICAL ENG.,
342,Monroe,3rd,314,DRS. DOSS; GRAVES,210,30,693,MECHANICAL ENG.,
343,Monroe,3rd,315,DRS. GOKARAJU; RHINEHART,250,16,1183,COMP DATA SCI ENG,
344,Monroe,3rd,316,STORAGE,215,,235,GEN. ENGINEERING,
345,Monroe,3rd,317,ISE LAB,250,30,735,INDUSTRIAL SYST. ENG.,fomerly McCullough
346,Monroe,3rd,318,VACANT (DR. KORY BENNET),250,5,810,MECHANICAL ENG.,past Makerspace
347,Monroe,3rd,319,DR. LAUREN DAVIS,250,20,615,INDUSTRIAL SYST. ENG.,
348,Monroe,3rd,00319A,LAB,250,2,138,INDUSTRIAL SYST. ENG.,MR. D. MARTAIN ?
349,Monroe,3rd,320,STORAGE,255,,75,CIVIL ARCH ENV ENG,
350,Monroe,3rd,321,M/ DS LAB,210,40,873,ELECTRICAL ENG,
351,Monroe,3rd,322,EE FACULTY LAB (DR.RAPTIS),32,,691,ELECTRICAL ENG,
352,Monroe,3rd,323,?,250,1,751,formerly Bagally?,
353,Monroe,3rd,00323A,STOR,255,,80,ELECTRICAL ENG,
354,Monroe,3rd,00323B,OFFICE,310,1,195,ELECTRICAL ENG,
355,Monroe,3rd,324,DR. KELLY,250,8,342,CIVIL ARCH ENV ENG,
356,Monroe,3rd,325,VACANT,250,5,258,?,formerly Atkinson
357,Monroe,3rd,00325A,OFFICE,310,3,153,"CIVIL, ARCH, & ENV ENG.",
358,Monroe,3rd,326,"DRS. MEGHI, HAMOOSH",250,4,237,"CIVIL, ARCH, & ENV ENG.",
359,Monroe,3rd,328,VACANT,310,,269,?,formerly Anwar; need in IRC (ask Muth)
360,Monroe,3rd,329,DR. TEHERE,310,,219,"CIVIL, ARCH, & ENV ENG.",
361,Monroe,3rd,330,DR. HAMOOSH,310,,214,"CIVIL, ARCH, & ENV ENG.",
362,Hines,2nd,200,DR. KUMAR,250,,1260,ELECTRICAL COMP ENG,Moving to Monro 218
363,Hines,2nd,201,DR. KARIMODDINI,250,6,473,ELECTRICAL COMP ENG,Moving to M-ERIC
364,Hines,2nd,202,DR. SCHALL,250,,484,ELECTRICAL COMP ENG,Moving to Monro 218
365,M-ERIC,2nd,200,,,90,,,
366,M-ERIC,3rd,300,,,75,,,
367,M-ERIC,4th,400,,,75,,,
368,Hines,2nd,203,DR. MONTE (SECURE MATERIALS),310,,174,ELECTRICAL COMP ENG,
369,Hines,2nd,204,DR. LIMBRICK,,,,,
